run_ts_utc,asof_date_ny,symbol,trailing_pe,forward_pe
2026-01-03T04:54:13+00:00,2026-01-02,QQQ,33.75728,
2026-01-03T04:54:13+00:00,2026-01-02,SPY,27.554523,
2026-01-03T23:46:42+00:00,2026-01-03,QQQ,33.75728,
2026-01-03T23:46:42+00:00,2026-01-03,SPY,27.554523,
2026-01-04T23:47:44+00:00,2026-01-04,QQQ,33.75728,
2026-01-04T23:47:44+00:00,2026-01-04,SPY,27.554523,
2026-01-05T23:47:24+00:00,2026-01-05,QQQ,34.02541,
2026-01-05T23:47:24+00:00,2026-01-05,SPY,27.738039,
2026-01-06T23:46:03+00:00,2026-01-06,QQQ,34.32438,
2026-01-06T23:46:03+00:00,2026-01-06,SPY,27.903004,
2026-01-07T23:48:28+00:00,2026-01-07,QQQ,33.73651,
2026-01-07T23:48:28+00:00,2026-01-07,SPY,27.91919,
2026-01-08T23:46:25+00:00,2026-01-08,QQQ,33.544586,
2026-01-08T23:46:25+00:00,2026-01-08,SPY,27.916355,
2026-01-09T23:48:16+00:00,2026-01-09,QQQ,33.8787,
2026-01-09T23:48:16+00:00,2026-01-09,SPY,28.100975,
2026-01-10T23:46:19+00:00,2026-01-10,QQQ,33.8787,
2026-01-10T23:46:19+00:00,2026-01-10,SPY,28.100975,
2026-01-11T23:47:12+00:00,2026-01-11,QQQ,33.88113,
2026-01-11T23:47:12+00:00,2026-01-11,SPY,28.100975,
2026-01-12T23:45:16+00:00,2026-01-12,QQQ,33.90681,
2026-01-12T23:45:16+00:00,2026-01-12,SPY,28.145105,
2026-01-13T23:47:09+00:00,2026-01-13,QQQ,33.856533,
2026-01-13T23:47:09+00:00,2026-01-13,SPY,28.08883,
2026-01-14T23:46:17+00:00,2026-01-14,QQQ,33.49485,
2026-01-14T23:46:17+00:00,2026-01-14,SPY,27.950768,
2026-01-15T23:48:54+00:00,2026-01-15,QQQ,33.61541,
2026-01-15T23:48:54+00:00,2026-01-15,SPY,28.026884,
2026-01-16T23:47:42+00:00,2026-01-16,QQQ,33.5873,
2026-01-16T23:47:42+00:00,2026-01-16,SPY,28.0034,
2026-01-17T23:46:10+00:00,2026-01-17,QQQ,33.5873,
2026-01-17T23:46:10+00:00,2026-01-17,SPY,28.0034,
2026-01-18T23:47:22+00:00,2026-01-18,QQQ,33.576214,
2026-01-18T23:47:22+00:00,2026-01-18,SPY,28.0034,
2026-01-19T23:51:06+00:00,2026-01-19,QQQ,33.576214,
